semester_id,subject_code
1,ASI101
1,CEA201
1,CSI104
1,CSI105
1,CSI106
1,MAE101
1,PFP191
1,PRF192
1,SDI101m
2,AIG201c
2,AIG202c
2,CMC201
2,CSD203
2,MAD101
2,NWC203c
2,NWC204
2,OSG202
2,PRN212
2,PRO192
3,CSD201
3,DBI202
3,ITE303c
3,NWC303
3,SDP201
3,WED201c
4,CCO201
4,IOT102
4,ITA203c
4,OSP201
4,PRJ301
4,PRJ302
4,SWE201c
5,CRY303c
5,FER201m
5,FER202
5,IAM302
5,ISM302
5,ITE302c
5,JSC301
5,PRN211
5,PRN292c
5,SWP391
5,SWT301
6,NLP301c
6,OJT202
7,ADS301m
7,AIL302m
7,AIT301
7,BDI302c
7,DAT301m
7,IAP301
7,IAW301
7,ISC301
7,ISC302
7,ITB301c
7,PRM392
7,PRN221
7,SDN301m
7,SWD391
7,SWD392
7,SYB302c
8,AID301c
8,DBM301
8,DBW301
8,DSS301
8,EXE201
8,IFT201c
8,PMG201c
8,PMG202c
8,PRN231
8,SPM401
8,WDP301
9,ISP490
9,SEP490
10,ADA201
10,CSD202
10,OSG203
10,DIC201
10,DWB301
10,ENW493c
10,IAR401
10,ITB302c
10,PRN222
10,PRN232
10,SDN302
10,AIE301
10,APO201
10,BDI301c
10,MCP201
10,FAP201
10,SSA101
10,FGU
10,OTHER
10,SWP
10,SWR
10,SWR302
10,SWT
